2Theta,Intensity
38.40804,651
38.43833,648
38.46861,674
38.4989,705
38.52919,722
38.55947,705
38.58976,704
38.62005,863
38.65033,965
38.68062,900
38.71091,893
38.74119,938
38.77148,943
38.80177,913
38.83205,853
38.86234,861
38.89263,809
38.92291,761
38.9532,727
38.98349,645
39.01377,597
39.04406,585
39.07435,531
39.10463,549
39.13492,567
39.16521,554
39.19549,558
39.22578,552
39.25607,583
39.28635,583
39.31664,624
39.34693,644
39.37721,694
39.4075,756
39.43779,711
39.46807,789
39.49836,851
39.52865,950
39.55893,999
39.58922,894
39.61951,892
39.64979,887
39.68008,866
39.71037,825
39.74065,781
39.77094,759
39.80123,745
39.83151,683
39.8618,669
39.89209,679
39.92237,685
39.95266,759
39.98295,809
40.01323,835
40.04352,833
40.07381,770
40.10409,800
40.13438,747
40.16467,704
40.19495,692
40.22524,677
40.25553,631
40.28581,663
40.3161,711
40.34639,727
40.37667,666
40.40696,614
40.43725,640
40.46753,651
40.49782,742
40.52811,779
40.55839,794
40.58868,878
40.61897,895
40.64925,891
40.67954,867
40.70983,910
40.74011,846
40.7704,984
40.80069,1186
40.83097,1282
40.86126,1136
40.89155,1050
40.92183,1043
40.95212,949
40.98241,869
41.01269,749
41.04298,707
41.07327,678
41.10355,647
41.13384,611
41.16413,656
41.19441,653
41.2247,661
41.25499,736
41.28527,764
41.31556,764
41.34585,916
41.37613,1006
41.40642,1099
41.43671,1252
41.46699,1282
41.49728,1289
41.52757,1275
41.55785,1278
41.58814,1284
41.61843,1215
41.64871,1183
41.679,1107
41.70929,1104
41.73957,1110
41.76986,1170
41.80015,1189
41.83043,1265
41.86072,1400
41.89101,1701
41.92129,2178
41.95158,2268
41.98187,1943
42.01215,1828
42.04244,1746
42.07273,1514
42.10301,1310
42.1333,1124
42.16359,984
42.19387,1075
42.22416,1165
42.25445,1368
42.28473,1684
42.31502,1878
42.34531,2063
42.37559,1919
42.40588,1791
42.43617,1809
42.46645,1682
42.49674,1580
42.52703,1573
42.55731,1546
42.5876,1460
42.61789,1418
42.64817,1330
42.67846,1240
42.70875,1199
42.73903,1065
42.76932,987
42.79961,906
42.82989,906
42.86018,813
42.89047,798
42.92075,776
42.95104,736
42.98133,788
43.01161,659
43.0419,751
43.07219,821
43.10247,860
43.13276,877
43.16305,816
43.19333,855
43.22362,864
43.25391,872
43.28419,863
43.31448,846
43.34477,840
43.37505,867
43.40534,835
43.43563,846
43.46591,843
43.4962,790
43.52649,804
43.55677,762
43.58706,805
43.61735,701
43.64763,769
43.67792,694
43.70821,701
43.73849,717
43.76878,697
43.79907,678
